hours.Wednesday,attributes.Ambience.divey,attributes.Music.live,attributes.HairSpecializesIn.kids,attributes.RestaurantsDelivery,attributes.Ambience.trendy,attributes.DogsAllowed,attributes.CoatCheck,postal_code,attributes.Smoking,hours.Thursday,attributes.HairSpecializesIn.straightperms,city,attributes.HairSpecializesIn.curly,attributes.Music.no_music,hours.Tuesday,attributes.HairSpecializesIn.coloring,attributes.GoodForKids,attributes.BestNights.sunday,attributes.BYOB,attributes.Ambience.casual,attributes.HairSpecializesIn.africanamerican,hours.Friday,stars,latitude,attributes.Alcohol,attributes.RestaurantsPriceRange2,attributes.Ambience.classy,attributes.RestaurantsTableService,attributes.GoodForMeal.latenight,business_id,attributes.GoodForMeal.dessert,attributes.Ambience.touristy,attributes.BusinessParking.validated,attributes.GoodForMeal.lunch,attributes.RestaurantsGoodForGroups,categories,attributes.GoodForMeal.brunch,name,attributes.BusinessParking.valet,attributes.BusinessAcceptsBitcoin,attributes.HappyHour,longitude,attributes.Ambience.hipster,attributes.BusinessParking.lot,attributes.BestNights.wednesday,is_open,attributes.Ambience.intimate,attributes.Music.background_music,neighborhood,attributes.BusinessParking.garage,attributes.BestNights.friday,attributes.WheelchairAccessible,hours.Monday,attributes.Music.karaoke,hours.Saturday,review_count,attributes.GoodForMeal.breakfast,attributes.NoiseLevel,attributes.Music.dj,attributes.HairSpecializesIn.perms,attributes.HairSpecializesIn.extensions,attributes.BestNights.saturday,state,attributes.BestNights.monday,attributes.BestNights.thursday,attributes.BusinessAcceptsCreditCards,attributes.DriveThru,attributes.HasTV,attributes.WiFi,attributes.GoodForMeal.dinner,attributes.BYOBCorkage,attributes.HairSpecializesIn.asian,attributes.BusinessParking.street,address,attributes.RestaurantsAttire,hours.Sunday,attributes.BestNights.tuesday,attributes.GoodForDancing,attributes.ByAppointmentOnly,attributes.Caters,attributes.AcceptsInsurance,attributes.RestaurantsReservations,attributes.Music.video,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale,attributes.RestaurantsTakeOut,attributes.BikeParking,attributes.OutdoorSeating
10:00-21:00,,,,,,,,44143,,10:00-21:00,,Richmond Heights,,,10:00-21:00,,,,,,,10:00-21:00,2.0,41.5417162,,2,,,,YDf95gJZaq05wvo7hTQbbQ,,,False,,,"[u'Shopping', u'Shopping Centers']",,Richmond Town Square,False,,,-81.4931165,,True,,1,,,,False,,True,10:00-21:00,,10:00-21:00,17,,,,,,,OH,,,,,,,,,,False,691 Richmond Rd,,11:00-18:00,,,,,,,,,,,,True,
10:00-22:00,False,,,True,False,,,28215,,10:00-22:00,,Charlotte,,,10:00-22:00,,True,,,False,,10:00-22:00,4.5,35.23687,,2,False,,False,mLwM-h2YhXl2NCgdS84_Bw,False,False,,False,True,"[u'Food', u'Soul Food', u'Convenience Stores', u'Restaurants']",False,South Florida Style Chicken & Ribs,,,,-80.7419759,False,,,0,False,,Eastland,,,,10:00-22:00,,10:00-22:00,4,False,average,,,,,NC,,,False,,False,,False,,,,2824 Milton Rd,casual,10:00-22:00,,,,,,False,,False,,False,True,,False
10:00-19:00,,,,,,,,M4K 1N7,,10:00-19:00,,Toronto,,,10:00-19:00,,,,,,,10:00-19:00,4.5,43.6771258,,2,,,,v2WhjAB3PIBA8J8VxG3wEg,,,False,,,"[u'Food', u'Coffee & Tea']",,The Tea Emporium,False,,,-79.3532848,,False,,0,,,Riverdale,False,,True,10:00-19:00,,10:00-18:00,7,,,,,,,ON,,,True,,,no,,,,True,337 Danforth Avenue,,12:00-17:00,,,,,,,,,,,,True,False
9:00-17:00,,,,,,,,85258,,9:00-17:00,,Scottsdale,,,9:00-17:00,,,,,,,9:00-17:00,3.0,33.5650816,,,,,,CVtCbSB1zUcUWg-9TNGTuQ,,,,,,"[u'Professional Services', u'Matchmakers']",,TRUmatch,,,,-111.9164003,,,,1,,,,,,,9:00-17:00,,,3,,,,,,,AZ,,,,,,,,,,,"7702 E Doubletree Ranch Rd, Ste 300",,,,,,,,,,,,,,,
,False,,,False,False,,,85016,,,,Phoenix,,,,,True,,,False,,,4.5,33.5059283,none,1,False,False,False,duHFBe87uNSXImQmvBh87Q,False,False,False,False,True,"[u'Sandwiches', u'Restaurants']",False,Blimpie,False,,,-112.0388474,False,False,,0,False,,,False,,,,,,10,False,quiet,,,,,AZ,,,True,,False,no,False,,,False,4719 N 20Th St,casual,,,,,True,,False,,False,,False,True,True,False
10:00-20:00,,,,,,,,85016,,10:00-20:00,,Phoenix,,,10:00-20:00,,,,,,,10:00-21:00,5.0,33.5080678,,2,,,,uUEMrhJiL1a1pCA_I1SU7Q,,,False,,,"[u'Shopping', u'Tobacco Shops']",,Baxter's Cigars,False,,,-112.0375524,,True,,0,,,,False,,,10:00-20:00,,10:00-21:00,35,,,,,,,AZ,,,True,,,,,,,False,2017 E Camelback Rd,,10:00-19:00,,,,,,,,,,,,True,
14:30-17:00,,,,,,,,85016,,14:00-19:00,,Phoenix,,,14:00-19:00,,,,,,,9:00-12:00,5.0,33.5028476,,,,,,2eJEUJIP54tex7T9YOcLSw,,,,,,"[u'Chiropractors', u'Health & Medical']",,Back-Health Chiropractic,,,,-112.012696,,,,1,,,,,,,14:30-17:00,,,19,,,,,,,AZ,,,True,,,,,,,,"4425 N 24th St, Ste 125",,,,,True,,True,,,,,,,,
8:00-17:00,,,,,,,,15201,,8:00-17:00,,Pittsburgh,,,8:00-17:00,,,,,,,8:00-17:00,2.5,40.4859391,,,,,,fEylCY3UEH8YJ0Xa7lu6lA,,,,,,"[u'Automotive', u'Oil Change Stations', u'Car Wash', u'Auto Detailing']",,Auto Bathouse,,,,-79.9437273,,,,1,,,Lawrenceville,,,,8:00-17:00,,8:00-17:00,16,,,,,,,PA,,,True,,,,,,,,5770 Butler St,,8:00-16:30,,,,,,,,,,,,,
10:00-20:00,,,,,,True,,15317,,10:00-20:00,,McMurray,,,10:00-18:00,,,,,,,10:00-18:00,5.0,40.2904976,,2,,,,kFtuYklkAIlmYw8RZAieGw,,,False,,,"[u'Jewelry Repair', u'Gold Buyers', u'Local Services', u'Shopping', u'Appraisal Services', u'Jewelry']",,JAB Jewelry Designs,False,,,-80.1100212,,True,,1,,,,False,,True,10:00-18:00,,10:00-16:00,7,,,,,,,PA,,,True,,,,,,,False,3220 Washington Rd,,,,,False,,,,,,,,,True,
7:30-17:00,,,,,,,,85296,,7:30-17:00,,Gilbert,,,7:30-17:00,,,,,,,7:30-11:00,5.0,33.3245392,,,,,,NqiQdFa93wzUJGo29NbTPQ,,,,,,"[u'Health & Medical', u'Optometrists']",,Neighborhood Vision Center,,,,-111.7204486,,,,1,,,,,,,7:30-17:00,,,8,,,,,,,AZ,,,True,,,,,,,,"1425 S Higley Rd, Ste 103",,,,,True,,True,,,,,,,,
